x,y
0,132
1,133
2,161
3,108
4,108
5,108
6,108
7,130
8,134
9,131
10,131
11,134
12,138
13,107
14,107
15,107
16,107
17,106
18,108
19,137
20,136
21,132
22,131
23,135
24,139
25,106
26,161
27,161
28,161
29,161
30,161
31,130
32,133
33,132
34,129
35,130
36,134
37,140
38,135
39,162
40,162
41,162
42,162
43,162
44,140
45,136
46,134
47,134
48,138
49,139
50,135
51,108
52,161
53,162
54,163
55,163
56,162
57,163
58,163
59,162
60,163
61,161
62,161
63,135
64,108
65,108
66,108
67,128
68,131
69,138
70,138
71,131
72,130
73,108
74,108
75,108
76,135
77,135
78,140
79,140
80,137
81,137
82,139
83,139
84,107
85,108
86,108
87,108
88,108
89,135
90,140
91,138
92,135
93,135
94,139
95,140
96,134
97,107
98,107
99,107
100,107
101,107
102,118
103,137
104,137
105,136
106,138
107,140
108,107
109,162
110,163
119,161
120,161
121,161
122,161
123,107
124,107
125,107
126,107
127,134
128,138
129,134
130,137
131,134
132,130
133,135
134,108
135,108
136,108
137,108
138,130
139,138
140,136
141,135
142,136
143,138
144,134
145,130
146,130
147,130
148,130
149,138
150,138
151,137
152,137
153,136
154,138
155,134
156,108
157,108
158,108
159,108
160,108
161,140
162,134
163,129
164,130
165,134
166,161
167,107
168,163
169,163
170,163
171,163
172,162
173,162
174,106
175,104
176,104
177,105
178,139
179,141
180,141
181,141
182,142
183,144
184,144
185,141
186,141
187,140
188,136
189,139
190,140
191,142
192,145
193,146
194,143
195,141
196,141
197,140
198,141
199,139
200,134
201,133
202,139
203,163
204,108
205,135
206,107
207,107
208,140
209,139
210,140
211,139
212,137
213,139
214,140
215,139
216,139
217,139
218,139
219,141
220,140
221,139
222,137
223,140
224,143
225,141
226,141
227,141
228,141
229,141
230,140
231,141
232,140
233,136
234,135
235,136
236,141
237,141
238,142
239,145
240,146
241,146
242,145
243,146
244,143
245,137
246,135
247,135
248,137
249,140
250,138
251,139
252,140
253,143
254,144
255,146
256,148
257,145
258,131
259,133
260,134
261,137
262,139
263,140
264,140
265,140
266,140
267,140
268,140
269,138
270,137
271,134
272,134
273,137
274,141
275,141
276,141
277,142
278,142
279,141
280,140
281,139
282,138
283,139
284,138
285,138
286,135
287,134
288,132
289,135
290,147
291,147
292,219
293,219
294,220
295,223
296,223
297,223
298,223
299,222
300,162
301,108
302,108
303,134
304,135
305,135
306,138
307,134
308,104
309,105
310,105
311,105
312,105
313,105
314,105
315,139
316,136
317,132
318,132
319,137
320,139
321,107
322,162
323,162
324,162
325,162
326,162
327,135
328,136
329,134
330,134
331,136
332,139
333,107
334,162
335,135
336,163
337,163
338,163
339,107
340,141
341,138
342,136
343,139
344,139
345,130
346,146
347,146
348,134
349,133
350,133
351,133
352,135
353,135
354,135
355,135
356,135
357,135
358,135
359,108
360,135
361,140
362,139
363,137
364,134
365,134
366,134
367,135
368,135
369,135
370,135
371,108
372,161
373,140
374,136
375,128
376,127
377,129
378,131
379,106
380,135
381,135
382,135
383,135
384,108
385,128
386,131
387,130
388,129
389,130
390,135
391,130
392,162
393,162
394,162
395,162
396,162
397,162
398,123
399,130
400,130
401,130
402,130
403,118
404,135
405,108
406,108
407,108
408,108
409,133
410,133
411,133
412,132
413,134
414,145
415,145
416,145
417,145
418,143
419,142
420,142
421,141
422,142
423,142
424,139
425,140
426,108
427,108
428,108
429,108
430,135
431,135
432,108
433,138
434,138
435,139
436,140
437,140
438,107
439,161
440,161
441,161
442,135
443,135
444,140
445,139
446,135
447,135
448,137
449,139
450,162
451,162
452,162
453,162
454,162
455,108
456,107
457,139
458,137
459,134
460,136
461,138
462,107
463,135
464,135
470,67
471,67
472,67
473,70
474,161
475,160
476,108
477,162
478,162
479,162
480,162
481,130
482,130
483,131
484,134
485,138
486,140
487,135
488,135
489,135
490,135
491,135
492,129
493,132
494,135
495,134
496,135
497,137
498,129
499,129
500,129
501,129
502,129
503,139
504,140
505,138
506,137
507,138
508,138
509,129
510,134
511,134
512,134
513,108
514,135
515,130
516,131
517,130
518,130
519,134
520,130
521,161
522,163
523,165
524,165
525,165
526,165
527,164
528,164
529,69
530,69
531,69
532,162
533,162
534,163
535,164
536,164
537,164
538,164
539,135
540,141
541,135
542,132
543,133
544,138
545,138
546,135
547,108
548,162
549,162
550,162
551,162
552,139
553,137
554,136
555,136
556,139
557,141
558,135
559,135
560,108
561,108
562,108
563,130
564,138
565,135
566,134
567,135
568,138
569,138
570,108
571,108
572,108
573,108
574,108
575,130
576,131
577,134
578,130
579,123
580,104
581,104
582,104
583,104
584,106
585,134
586,162
587,163
588,162
589,162
590,162
591,162
592,135
593,162
594,162
595,162
596,162
597,162
598,140
599,138
600,138
601,137
602,138
603,139
604,106
605,107
606,106
607,106
608,106
609,106
610,107
611,130
612,132
613,129
614,130
615,134
616,130
617,108
618,134
619,161
620,161
621,161
622,161
623,141
624,139
625,136
626,137
627,138
628,141
629,135
630,135
631,161
632,161
633,161
634,161
635,134
636,131
637,131
638,137
639,131
640,129
641,135
642,135
643,135
644,108
645,134
646,135
647,135
648,135
649,135
650,135
651,135
652,135
653,135
654,135
655,135
656,161
657,140
658,138
659,136
660,137
661,138
662,107
663,135
664,135
665,135
666,135
667,135
668,108
669,141
670,139
671,134
672,134
673,135
674,140
675,135
676,162
677,162
678,162
679,162
680,162
681,140
682,134
683,132
684,129
685,130
686,134
687,138
688,135
689,162
690,162
691,162
692,162
693,162
694,141
695,138
696,138
697,138
698,138
699,130
700,135
701,161
702,135
703,163
704,135
705,135
706,135
707,135
708,135
709,161
710,135
711,161
712,161
713,161
714,161
715,123
716,131
717,134
718,134
719,135
720,135
721,135
722,135
723,135
724,135
725,162
726,135
727,140
728,133
729,127
730,126
731,129
732,129
733,129
734,162
735,162
736,162
737,162
738,162
739,107
740,131
741,132
742,131
743,132
744,138
745,140
746,161
747,162
748,162
749,162
750,162
751,162
752,130
753,138
754,137
755,136
756,138
757,140
758,135
759,162
760,164
769,161
770,160
771,160
772,161
773,107
774,107
775,107
776,107
777,134
778,134
779,137
780,137
781,134
782,129
783,129
784,129
785,129
786,129
787,137
788,137
789,137
790,138
791,140
792,162
793,162
794,162
795,162
796,135
797,135
798,138
799,136
800,132
801,131
802,134
803,131
804,105
805,135
806,135
807,135
808,107
809,161
810,106
811,138
812,137
813,135
814,136
815,134
816,129
817,107
818,163
819,163
820,163
821,163
822,163
823,163
824,135
825,107
826,107
827,135
828,162
829,162
830,162
831,162
832,162
833,162
834,162
835,105
836,138
837,136
838,136
839,137
840,139
841,107
842,107
843,107
844,107
845,107
846,130
847,134
848,131
849,131
850,131
851,129
852,105
853,105
854,105
855,105
856,105
857,128
858,132
859,136
860,137
861,137
862,138
863,105
864,107
865,107
866,107
867,106
868,107
869,130
870,137
871,137
872,136
873,134
874,135
875,107
876,107
877,107
878,135
879,162
880,135
881,161
882,164
883,220
884,220
885,220
886,221
887,220
888,165
889,165
890,165
891,165
892,162
893,161
894,139
895,137
896,138
897,138
898,135
899,130
900,107
901,105
902,106
903,106
904,106
905,106
906,131
907,136
908,136
909,137
910,137
911,137
912,108
913,108
914,108
915,108
916,108
917,130
918,137
919,136
920,135
921,136
922,138
923,128
924,107
925,107
926,107
927,107
928,107
929,138
930,138
931,134
932,131
933,130
934,105
935,161
936,161
937,161
938,108
939,160
940,161
941,162
942,64
943,64
944,64
949,164
950,162
951,135
952,129
953,138
954,137
955,135
956,138
957,140
958,107
959,107
960,107
961,107
962,107
963,134
964,107
965,137
966,132
967,129
968,130
969,135
970,138
971,135
972,108
973,162
974,162
975,162
976,162
977,140
978,138
979,138
980,138
981,139
982,140
983,135
984,135
985,107
986,107
987,107
988,104
989,129
990,131
991,130
992,137
993,138
994,107
995,135
996,135
997,135
998,134
999,133
1000,134
1001,135
1002,136
1003,137
1004,138
1005,139
1006,148
1007,135
1008,135
1009,135
1010,135
1011,140
1012,138
1013,131
1014,131
1015,131
1016,139
1017,162
1018,162
1019,162
1020,162
1021,108
1022,135
1023,138
1024,138
1025,136
1026,136
1027,137
1028,138
1029,106
1030,162
1031,162
1032,162
1033,162
1034,162
1035,129
1036,130
1037,133
1038,132
1039,132
1040,136
1041,131
1042,135
1043,162
1044,162
1045,162
1046,162
1047,162
1048,138
1049,135
1050,135
1051,135
1052,136
1053,138
1054,135
1055,108
1056,161
1057,161
1058,161
1059,134
1060,134
1061,134
1062,161
1063,161
1064,161
1065,161
1066,161
1067,135
1068,108
1069,108
1070,108
1071,138
1072,134
1073,131
1074,131
1075,131
1076,134
1077,108
1078,108
1079,108
1080,135
1081,135
1082,140
1083,139
1084,137
1085,137
1086,137
1087,137
1088,107
1089,108
1090,108
1091,108
1092,108
1093,135
1094,141
1095,138
1096,134
1097,134
1098,135
1099,138
1100,135
1101,107
1102,135
1103,135
1104,135
1105,107
1106,105
1107,134
1108,136
1109,136
1110,137
1111,138
1112,107
1113,161
1114,162
1120,79
1121,79
1122,79
1123,163
1124,161
1125,160
1126,108
1127,135
1128,135
1129,135
1130,135
1131,134
1132,131
1133,131
1134,131
1135,137
1136,139
1137,135
1138,108
1139,108
1140,108
1141,108
1142,130
1143,134
1144,134
1145,134
1146,135
1147,138
1148,118
1149,118
1150,118
1151,118
1152,129
1153,131
1154,129
1155,129
1156,129
1157,128
1158,107
1159,107
1160,107
1161,107
1162,135
1163,162
1164,135
1165,138
1166,135
1167,134
1168,134
1169,137
1170,139
1171,163
1172,166
1173,165
1174,165
1175,165
1176,165
1177,165
